ticker,trade_count,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,worst_mae_r,avg_mfe_r,median_score,tp1_touch_rate_pct,tp2_hit_rate_pct,stop_rate_pct,breakeven_rate_pct,live_trade_count,live_expectancy_r,live_profit_factor_r
CPIN,217,22.58,-0.3677,0.1696,0.3325,-0.5719,-0.6019,-1.9703,0.2928,95.5,3.69,0.0,23.5,0.92,132,-0.2969,0.1818
INTP,225,30.22,-0.2898,0.2562,0.3303,-0.5584,-0.5362,-1.8483,0.3503,95.52,7.56,0.89,22.22,3.56,141,-0.2042,0.3334
MBMA,138,28.26,-0.2888,0.3624,0.5809,-0.6314,-0.6129,-1.8851,0.5794,69.995,15.22,2.17,31.16,5.8,76,-0.279,0.2467
BBTN,225,28.44,-0.2576,0.3843,0.5653,-0.5847,-0.5524,-1.7383,0.4264,93.87,12.0,2.22,24.89,2.22,148,-0.1162,0.6284
MIKA,233,29.18,-0.2314,0.2861,0.3178,-0.4578,-0.4829,-1.6106,0.4006,96.45,8.58,1.29,15.45,3.86,147,-0.174,0.3122
SMRA,201,33.33,-0.2236,0.3258,0.324,-0.4973,-0.4823,-1.5385,0.3592,95.69,5.97,1.0,14.43,1.49,138,-0.2161,0.2852
AKRA,356,29.78,-0.2231,0.3776,0.4545,-0.5103,-0.5041,-1.7091,0.4292,92.73,12.64,1.69,18.82,4.21,207,-0.2958,0.1913
KLBF,258,29.07,-0.2202,0.3873,0.4789,-0.5067,-0.5444,-1.8639,0.3891,87.835,8.91,1.16,15.89,0.0,135,-0.2022,0.3434
SIDO,242,32.23,-0.2099,0.3879,0.4128,-0.5061,-0.5082,-1.3939,0.4634,74.815,11.98,1.65,17.36,2.89,119,-0.1661,0.3926
BBCA,112,29.46,-0.2063,0.4468,0.5656,-0.5288,-0.4987,-1.4749,0.4641,68.69,17.86,0.89,17.86,4.46,51,-0.3003,0.1803
ISAT,361,32.69,-0.2011,0.4011,0.412,-0.4988,-0.5499,-1.8379,0.4835,76.37,13.57,1.66,19.39,5.82,210,-0.162,0.4184
BBNI,238,28.57,-0.199,0.4227,0.5099,-0.4826,-0.4783,-1.7633,0.4684,93.89,14.71,2.1,16.81,5.88,136,-0.2093,0.2821
SMGR,196,32.65,-0.197,0.4122,0.4231,-0.4977,-0.4638,-1.685,0.4195,96.515,12.24,1.02,16.33,5.1,151,-0.1884,0.3853
INDF,214,39.72,-0.1861,0.5165,0.5004,-0.6384,-0.5904,-2.4107,0.4782,67.76,16.36,1.87,21.5,2.34,86,-0.177,0.4235
ICBP,210,33.81,-0.1857,0.4738,0.4948,-0.5333,-0.5375,-2.1863,0.4443,73.905,12.86,1.9,18.1,3.81,94,-0.1879,0.3216
MAPI,397,33.0,-0.1756,0.3858,0.3343,-0.4267,-0.4689,-1.9758,0.4146,85.0,10.33,0.5,13.85,3.53,248,-0.1529,0.4002
