ticker,candidate_count,v1_live_count,v2_recommended_count,v2_recommended_rate_pct,all_precision_pct,all_expectancy_r,all_profit_factor_r,v2_precision_pct,v2_expectancy_r,v2_profit_factor_r,v2_avg_mae_r,v2_avg_mfe_r
ADRO,396,249,0,0.0,37.12,-0.0294,0.8963,0.0,0.0,0.0,0.0,0.0
AKRA,357,208,0,0.0,29.69,-0.2247,0.3752,0.0,0.0,0.0,0.0,0.0
AMMN,237,115,0,0.0,46.41,0.029,1.1154,0.0,0.0,0.0,0.0,0.0
ANTM,374,254,0,0.0,38.5,0.0099,1.0283,0.0,0.0,0.0,0.0,0.0
ARTO,221,119,0,0.0,36.65,-0.057,0.8033,0.0,0.0,0.0,0.0,0.0
ASII,176,98,0,0.0,31.82,-0.1564,0.5439,0.0,0.0,0.0,0.0,0.0
BBCA,114,51,0,0.0,30.7,-0.1969,0.4628,0.0,0.0,0.0,0.0,0.0
BBNI,238,136,0,0.0,28.57,-0.199,0.4227,0.0,0.0,0.0,0.0,0.0
BBRI,174,86,0,0.0,34.48,-0.0911,0.6747,0.0,0.0,0.0,0.0,0.0
BBTN,225,148,0,0.0,28.44,-0.2576,0.3843,0.0,0.0,0.0,0.0,0.0
BMRI,244,125,0,0.0,38.52,-0.0541,0.8311,0.0,0.0,0.0,0.0,0.0
BRIS,307,191,0,0.0,36.48,-0.0744,0.7272,0.0,0.0,0.0,0.0,0.0
BRPT,347,208,0,0.0,41.79,0.1451,1.4709,0.0,0.0,0.0,0.0,0.0
CPIN,217,132,0,0.0,22.58,-0.3677,0.1696,0.0,0.0,0.0,0.0,0.0
EMTK,343,193,0,0.0,37.03,-0.0741,0.7867,0.0,0.0,0.0,0.0,0.0
ESSA,326,170,0,0.0,34.97,-0.092,0.7247,0.0,0.0,0.0,0.0,0.0
EXCL,311,177,0,0.0,29.58,-0.0967,0.6357,0.0,0.0,0.0,0.0,0.0
GOTO,180,83,0,0.0,28.33,-0.1653,0.5656,0.0,0.0,0.0,0.0,0.0
HRUM,240,134,0,0.0,37.92,-0.0715,0.7369,0.0,0.0,0.0,0.0,0.0
ICBP,210,94,0,0.0,33.81,-0.1857,0.4738,0.0,0.0,0.0,0.0,0.0
INCO,311,192,0,0.0,31.83,-0.1025,0.6956,0.0,0.0,0.0,0.0,0.0
INDF,214,86,0,0.0,39.72,-0.1861,0.5165,0.0,0.0,0.0,0.0,0.0
INKP,259,170,0,0.0,32.82,-0.1196,0.6545,0.0,0.0,0.0,0.0,0.0
INTP,225,141,0,0.0,30.22,-0.2898,0.2562,0.0,0.0,0.0,0.0,0.0
ISAT,361,210,0,0.0,32.69,-0.2011,0.4011,0.0,0.0,0.0,0.0,0.0
ITMG,314,180,0,0.0,34.39,-0.1353,0.6809,0.0,0.0,0.0,0.0,0.0
KLBF,258,135,0,0.0,29.07,-0.2202,0.3873,0.0,0.0,0.0,0.0,0.0
MAPI,399,248,0,0.0,32.83,-0.1811,0.3773,0.0,0.0,0.0,0.0,0.0
MBMA,138,76,0,0.0,28.26,-0.2888,0.3624,0.0,0.0,0.0,0.0,0.0
MDKA,314,191,0,0.0,33.76,-0.1429,0.5546,0.0,0.0,0.0,0.0,0.0
MEDC,371,229,0,0.0,31.27,-0.093,0.7303,0.0,0.0,0.0,0.0,0.0
MIKA,233,147,0,0.0,29.18,-0.2314,0.2861,0.0,0.0,0.0,0.0,0.0
NCKL,155,89,0,0.0,30.97,-0.1178,0.5841,0.0,0.0,0.0,0.0,0.0
PGAS,328,166,0,0.0,35.67,-0.1558,0.5865,0.0,0.0,0.0,0.0,0.0
PTBA,271,144,0,0.0,36.53,-0.0549,0.8356,0.0,0.0,0.0,0.0,0.0
SIDO,242,119,0,0.0,32.23,-0.2099,0.3879,0.0,0.0,0.0,0.0,0.0
SMGR,196,151,0,0.0,32.65,-0.197,0.4122,0.0,0.0,0.0,0.0,0.0
SMRA,203,139,0,0.0,33.99,-0.2185,0.3345,0.0,0.0,0.0,0.0,0.0
TKIM,233,139,0,0.0,34.76,-0.0968,0.691,0.0,0.0,0.0,0.0,0.0
TLKM,227,110,0,0.0,35.68,-0.1483,0.5201,0.0,0.0,0.0,0.0,0.0
TOWR,159,109,0,0.0,33.33,-0.1246,0.5238,0.0,0.0,0.0,0.0,0.0
TPIA,349,225,0,0.0,41.55,0.1006,1.3287,0.0,0.0,0.0,0.0,0.0
UNTR,326,191,0,0.0,34.05,-0.1446,0.5733,0.0,0.0,0.0,0.0,0.0
UNVR,284,165,0,0.0,31.34,-0.0963,0.6758,0.0,0.0,0.0,0.0,0.0
