ticker,candidate_count,v1_live_count,v2_recommended_count,v2_recommended_rate_pct,all_precision_pct,all_expectancy_r,all_profit_factor_r,v2_precision_pct,v2_expectancy_r,v2_profit_factor_r,v2_avg_mae_r,v2_avg_mfe_r
ADRO,396,249,0,0.0,37.12,-0.0294,0.8963,0.0,0.0,0.0,0.0,0.0
AKRA,356,207,0,0.0,29.78,-0.2231,0.3776,0.0,0.0,0.0,0.0,0.0
AMMN,237,115,0,0.0,46.41,0.029,1.1154,0.0,0.0,0.0,0.0,0.0
ANTM,374,254,0,0.0,38.5,0.0099,1.0283,0.0,0.0,0.0,0.0,0.0
ARTO,220,119,0,0.0,36.36,-0.0611,0.7901,0.0,0.0,0.0,0.0,0.0
ASII,176,98,0,0.0,31.82,-0.1564,0.5439,0.0,0.0,0.0,0.0,0.0
BBCA,110,51,0,0.0,28.18,-0.2194,0.4222,0.0,0.0,0.0,0.0,0.0
BBNI,238,136,0,0.0,28.57,-0.199,0.4227,0.0,0.0,0.0,0.0,0.0
BBRI,173,86,0,0.0,34.68,-0.0895,0.6799,0.0,0.0,0.0,0.0,0.0
BBTN,225,148,0,0.0,28.44,-0.2576,0.3843,0.0,0.0,0.0,0.0,0.0
BMRI,243,124,0,0.0,38.68,-0.0539,0.8322,0.0,0.0,0.0,0.0,0.0
BRIS,305,190,0,0.0,36.72,-0.0744,0.7286,0.0,0.0,0.0,0.0,0.0
BRPT,347,208,0,0.0,41.79,0.1451,1.4709,0.0,0.0,0.0,0.0,0.0
CPIN,217,132,0,0.0,22.58,-0.3677,0.1696,0.0,0.0,0.0,0.0,0.0
EMTK,343,193,0,0.0,37.03,-0.0741,0.7867,0.0,0.0,0.0,0.0,0.0
ESSA,326,170,0,0.0,34.97,-0.092,0.7247,0.0,0.0,0.0,0.0,0.0
EXCL,311,177,0,0.0,29.58,-0.0967,0.6357,0.0,0.0,0.0,0.0,0.0
GOTO,180,83,0,0.0,28.33,-0.1653,0.5656,0.0,0.0,0.0,0.0,0.0
HRUM,238,132,0,0.0,37.82,-0.0723,0.7357,0.0,0.0,0.0,0.0,0.0
ICBP,208,94,0,0.0,33.65,-0.189,0.4686,0.0,0.0,0.0,0.0,0.0
INCO,311,192,0,0.0,31.83,-0.1025,0.6956,0.0,0.0,0.0,0.0,0.0
INDF,213,86,0,0.0,39.91,-0.1817,0.5237,0.0,0.0,0.0,0.0,0.0
INKP,259,170,0,0.0,32.82,-0.1196,0.6545,0.0,0.0,0.0,0.0,0.0
INTP,225,141,0,0.0,30.22,-0.2898,0.2562,0.0,0.0,0.0,0.0,0.0
ISAT,361,210,0,0.0,32.69,-0.2011,0.4011,0.0,0.0,0.0,0.0,0.0
ITMG,314,180,0,0.0,34.39,-0.1353,0.6809,0.0,0.0,0.0,0.0,0.0
KLBF,258,135,0,0.0,29.07,-0.2202,0.3873,0.0,0.0,0.0,0.0,0.0
MAPI,395,248,0,0.0,33.16,-0.17,0.3948,0.0,0.0,0.0,0.0,0.0
MBMA,138,76,0,0.0,28.26,-0.2888,0.3624,0.0,0.0,0.0,0.0,0.0
MDKA,314,191,0,0.0,33.76,-0.1429,0.5546,0.0,0.0,0.0,0.0,0.0
MEDC,371,229,0,0.0,31.27,-0.093,0.7303,0.0,0.0,0.0,0.0,0.0
MIKA,232,147,0,0.0,28.88,-0.2328,0.2848,0.0,0.0,0.0,0.0,0.0
NCKL,155,89,0,0.0,30.97,-0.1178,0.5841,0.0,0.0,0.0,0.0,0.0
PGAS,328,166,0,0.0,35.67,-0.1558,0.5865,0.0,0.0,0.0,0.0,0.0
PTBA,271,144,0,0.0,36.53,-0.0549,0.8356,0.0,0.0,0.0,0.0,0.0
SIDO,242,119,0,0.0,32.23,-0.2099,0.3879,0.0,0.0,0.0,0.0,0.0
SMGR,196,151,0,0.0,32.65,-0.197,0.4122,0.0,0.0,0.0,0.0,0.0
SMRA,200,137,0,0.0,33.0,-0.2283,0.3148,0.0,0.0,0.0,0.0,0.0
TKIM,229,136,0,0.0,35.37,-0.0972,0.6939,0.0,0.0,0.0,0.0,0.0
TLKM,226,109,0,0.0,35.4,-0.1495,0.5184,0.0,0.0,0.0,0.0,0.0
TOWR,155,107,0,0.0,33.55,-0.1275,0.524,0.0,0.0,0.0,0.0,0.0
TPIA,349,225,0,0.0,41.55,0.1006,1.3287,0.0,0.0,0.0,0.0,0.0
UNTR,325,190,0,0.0,34.15,-0.1433,0.5762,0.0,0.0,0.0,0.0,0.0
UNVR,280,165,0,0.0,31.79,-0.0923,0.6882,0.0,0.0,0.0,0.0,0.0
