ticker,trade_count,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,worst_mae_r,avg_mfe_r,median_score,tp1_touch_rate_pct,tp2_hit_rate_pct,stop_rate_pct,breakeven_rate_pct,live_trade_count,live_expectancy_r,live_profit_factor_r
SIDO,39,12.82,-0.4846,0.0778,0.3189,-0.6028,-0.6177,-1.3995,0.2275,79.79,2.56,0.0,30.77,0.0,13,-0.3277,0.1905
ESSA,65,23.08,-0.4349,0.1222,0.2624,-0.6441,-0.6046,-1.4599,0.3161,85.0,1.54,0.0,29.23,0.0,32,-0.2392,0.2998
INTP,20,20.0,-0.4261,0.0368,0.0813,-0.5529,-0.7172,-1.659,0.458,78.94,20.0,0.0,35.0,20.0,9,-0.6772,0.0
EMTK,25,20.0,-0.4004,0.127,0.2913,-0.5734,-0.6367,-1.623,0.3707,85.0,8.0,0.0,32.0,8.0,13,-0.17,0.3827
CPIN,89,22.47,-0.3833,0.1735,0.3581,-0.5982,-0.5851,-1.8409,0.2696,91.75,4.49,0.0,24.72,1.12,45,-0.2949,0.1689
SCMA,2,0.0,-0.38,0.0,0.0,-0.38,-0.4846,-0.4927,0.1232,98.675,0.0,0.0,0.0,0.0,2,-0.38,0.0
ICBP,79,20.25,-0.3596,0.1867,0.4075,-0.5544,-0.6656,-2.1863,0.3427,93.84,7.59,0.0,22.78,5.06,48,-0.3118,0.1844
BBRI,61,22.95,-0.3491,0.1297,0.2267,-0.5207,-0.4817,-1.8528,0.2332,95.24,1.64,0.0,21.31,0.0,33,-0.3252,0.0975
BBNI,92,23.91,-0.3288,0.1748,0.2912,-0.5236,-0.4927,-1.9759,0.2566,94.645,3.26,0.0,18.48,0.0,47,-0.1678,0.2792
ADMR,4,0.0,-0.3032,0.0,0.0,-0.3032,-0.3126,-0.5845,0.2634,94.605,0.0,0.0,0.0,0.0,2,-0.3566,0.0
INDF,137,32.85,-0.2759,0.3324,0.4182,-0.6154,-0.5638,-2.4107,0.3823,66.51,10.95,1.46,21.9,2.92,44,-0.305,0.1811
SMRA,25,20.0,-0.2502,0.2781,0.4819,-0.4333,-0.5102,-1.5385,0.4558,92.94,16.0,4.0,16.0,8.0,11,-0.3084,0.018
BBCA,43,30.23,-0.2483,0.3506,0.4434,-0.5481,-0.5098,-1.4749,0.3677,71.45,4.65,0.0,18.6,0.0,18,-0.1348,0.5003
SMGR,58,29.31,-0.2458,0.3543,0.4603,-0.5386,-0.4792,-1.685,0.4,92.34,8.62,0.0,20.69,0.0,30,-0.244,0.2922
GOTO,107,23.36,-0.2431,0.3178,0.4845,-0.4649,-0.5603,-1.561,0.4715,69.68,15.89,0.0,18.69,7.48,46,-0.3784,0.1145
BMRI,67,37.31,-0.2415,0.3404,0.334,-0.584,-0.4698,-1.5254,0.3994,94.13,14.93,0.0,22.39,2.99,38,-0.1786,0.3563
ADRO,132,27.27,-0.2398,0.3479,0.469,-0.5056,-0.5396,-1.7407,0.4273,73.195,12.12,0.0,18.94,3.79,61,-0.2278,0.3265
TOWR,58,20.69,-0.2295,0.2653,0.4007,-0.3939,-0.4227,-1.2878,0.2937,95.55,3.45,0.0,12.07,0.0,34,-0.2623,0.1221
MBMA,118,33.05,-0.2127,0.4973,0.6364,-0.6318,-0.5571,-1.503,0.6098,69.44,13.56,4.24,30.51,3.39,51,-0.1104,0.6067
MAPI,163,33.74,-0.2102,0.3474,0.3315,-0.486,-0.5741,-3.0878,0.4083,78.54,9.2,2.45,19.63,4.29,77,-0.184,0.261
PGAS,162,31.48,-0.205,0.4718,0.5815,-0.5663,-0.5544,-2.2776,0.522,66.585,19.75,1.85,22.84,4.32,51,-0.185,0.3372
ARTO,69,28.99,-0.2029,0.3702,0.4114,-0.4536,-0.4607,-1.3334,0.4529,94.4,14.49,2.9,17.39,8.7,42,-0.1421,0.5145
ISAT,140,25.71,-0.1991,0.4759,0.7031,-0.5114,-0.5602,-1.5331,0.5452,74.85,20.71,5.0,22.86,9.29,71,-0.0754,0.7493
WIFI,6,16.67,-0.1967,0.17,0.2417,-0.2843,-0.2187,-0.4592,0.2879,96.74,0.0,0.0,0.0,0.0,4,-0.1748,0.2568
BBTN,105,34.29,-0.1873,0.5354,0.6295,-0.6135,-0.5476,-1.7383,0.4589,82.04,12.38,1.9,24.76,0.0,64,-0.0792,0.761
BRIS,57,40.35,-0.1854,0.3613,0.2599,-0.4866,-0.5388,-2.1429,0.4466,91.88,3.51,0.0,17.54,0.0,35,-0.236,0.1717
INKP,122,36.89,-0.1834,0.4614,0.4258,-0.5394,-0.5257,-1.9706,0.4894,89.875,11.48,0.0,20.49,2.46,77,-0.2638,0.3091
AKRA,160,30.0,-0.1809,0.4484,0.4901,-0.4684,-0.463,-1.5501,0.4343,91.18,16.88,1.25,16.25,5.62,81,-0.2733,0.1361
KLBF,87,33.33,-0.1775,0.4692,0.4706,-0.5016,-0.4938,-1.4309,0.3771,90.94,10.34,0.0,14.94,0.0,41,-0.2375,0.1963
UNTR,149,34.9,-0.177,0.5131,0.5343,-0.5583,-0.5397,-2.0875,0.4831,71.36,13.42,2.68,21.48,2.01,66,-0.2683,0.2121
MDKA,142,35.92,-0.1644,0.5367,0.5303,-0.5538,-0.5244,-1.9185,0.5211,78.175,16.9,2.82,24.65,6.34,76,-0.217,0.3573
AMMN,103,36.89,-0.1555,0.439,0.33,-0.4394,-0.4486,-1.5744,0.4235,69.91,7.77,0.0,11.65,0.97,50,-0.1401,0.4027
TLKM,114,33.33,-0.1536,0.5774,0.6296,-0.5452,-0.5436,-2.3423,0.462,92.905,9.65,7.89,17.54,0.0,60,-0.2306,0.2259
ASII,113,34.51,-0.1484,0.6254,0.7176,-0.6047,-0.5947,-1.7619,0.5712,64.13,17.7,7.08,23.01,5.31,32,-0.3177,0.1799
BUMI,9,22.22,-0.1232,0.4039,0.3755,-0.2657,-0.1973,-0.5927,0.3267,99.74,0.0,0.0,0.0,0.0,9,-0.1232,0.4039
PGEO,4,25.0,-0.1213,0.2248,0.1407,-0.2086,-0.23,-0.4145,0.1676,98.755,0.0,0.0,0.0,0.0,3,-0.0735,0.3896
INCO,167,29.34,-0.0921,0.7097,0.7674,-0.449,-0.4915,-1.6739,0.616,80.04,23.35,7.78,16.77,11.38,93,-0.0678,0.7576
ITMG,86,34.88,-0.0906,0.7543,0.7976,-0.5665,-0.5672,-1.8511,0.7786,74.39,34.88,8.14,25.58,15.12,38,-0.1271,0.6972
EXCL,167,28.14,-0.0613,0.7967,0.8538,-0.4197,-0.4774,-2.0994,0.6978,68.57,23.35,8.38,13.77,10.78,57,-0.0058,0.9776
NCKL,46,39.13,-0.0577,0.7712,0.497,-0.4143,-0.5006,-1.9914,0.5477,95.38,15.22,4.35,17.39,6.52,34,-0.1386,0.4165
MEDC,182,35.71,-0.0438,0.8309,0.6024,-0.4028,-0.4264,-1.5873,0.5861,92.56,17.58,7.14,13.74,3.85,94,-0.1511,0.3831
JPFA,4,25.0,-0.0325,0.74,0.3701,-0.1667,-0.1456,-0.4256,0.5778,93.54,0.0,0.0,0.0,0.0,1,-0.0304,0.0
HRTA,9,44.44,-0.0178,0.9089,0.4001,-0.3521,-0.2369,-0.8695,0.3851,100.0,11.11,0.0,0.0,0.0,8,-0.1234,0.4392
PTBA,94,37.23,0.0129,1.0454,0.7994,-0.4536,-0.5938,-4.04,0.6345,76.605,22.34,6.38,13.83,4.26,41,0.042,1.1571
UNVR,142,38.03,0.0445,1.2113,0.6704,-0.3396,-0.3411,-2.407,0.5631,85.0,14.08,9.15,4.23,2.82,67,-0.003,0.9846
ANTM,217,40.09,0.0573,1.1663,1.0032,-0.5757,-0.4862,-1.964,0.7672,83.92,28.57,16.59,22.12,6.45,141,0.1927,1.7074
AADI,19,42.11,0.0674,1.5159,0.4705,-0.2257,-0.2283,-0.8424,0.4149,98.31,10.53,0.0,0.0,0.0,14,0.064,1.4029
BRPT,173,50.29,0.2993,2.2948,1.0549,-0.4651,-0.4298,-1.7205,1.0561,71.35,44.51,20.23,15.61,13.29,94,0.4262,3.0231
