mode,score_bucket,trade_count,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,worst_mae_r,avg_mfe_r,median_score,tp1_touch_rate_pct,tp2_hit_rate_pct,stop_rate_pct,breakeven_rate_pct,live_trade_count,live_expectancy_r,live_profit_factor_r
swing,90-95,3,0.0,-1.1146,0.0,0.0,-1.1146,-1.517,-1.6592,0.2528,91.05,0.0,0.0,100.0,0.0,3,-1.1146,0.0
t1,70-80,8,12.5,-0.3259,0.0328,0.0884,-0.385,-0.3294,-1.1665,0.1187,79.19,0.0,0.0,12.5,0.0,0,0.0,0.0
swing,70-80,373,26.81,-0.2459,0.545,1.0985,-0.7383,-0.8179,-2.0954,0.7819,73.86,29.49,10.19,41.82,10.99,373,-0.2459,0.545
swing,60-70,551,30.31,-0.224,0.5365,0.8554,-0.6934,-0.737,-2.3423,0.8013,65.33,29.4,7.26,37.21,12.89,122,-0.2568,0.5141
swing,0-60,974,35.11,-0.1936,0.6099,0.862,-0.7648,-0.7743,-4.04,0.7558,49.255,28.34,8.21,37.78,8.21,0,0.0,0.0
t1,60-70,153,32.68,-0.1477,0.4057,0.3086,-0.3692,-0.3334,-3.4339,0.2482,65.0,3.27,0.0,4.58,0.0,0,0.0,0.0
t1,80-90,147,27.89,-0.13,0.3571,0.2588,-0.2804,-0.2903,-2.4107,0.2572,85.0,2.04,0.0,2.72,0.0,0,0.0,0.0
t1,95-100,1509,32.41,-0.1207,0.4423,0.2954,-0.3202,-0.2911,-2.3423,0.2774,99.3,3.98,0.33,2.45,0.0,1509,-0.1207,0.4423
t1,90-95,388,29.9,-0.1178,0.4131,0.2774,-0.2864,-0.2646,-1.6184,0.2526,93.31,2.06,0.0,1.55,0.0,0,0.0,0.0
t1,0-60,45,40.0,-0.0336,0.7705,0.282,-0.244,-0.2284,-0.739,0.2941,34.28,2.22,0.0,0.0,0.0,0,0.0,0.0
swing,80-90,111,44.14,0.2247,1.6535,1.2882,-0.6157,-0.5964,-1.9542,1.1358,83.09,46.85,26.13,27.03,15.32,111,0.2247,1.6535
