date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-07,AADI,9175.0,9175,True,0.0,False
2026-08-07,ADMR,1620.0,1620,True,0.0,False
2026-08-07,ADRO,2540.0,2540,True,0.0,False
2026-08-07,AKRA,1420.0,1420,True,0.0,False
2026-08-07,AMMN,4400.0,4400,True,0.0,False
2026-08-07,AMRT,1420.0,1420,True,0.0,False
2026-08-07,ANTM,3160.0,3160,True,0.0,False
2026-08-07,ASII,5100.0,5100,True,0.0,False
2026-08-07,BBCA,6375.0,6375,True,0.0,False
2026-08-07,BBNI,3630.0,3630,True,0.0,False
2026-08-07,BBRI,3130.0,3130,True,0.0,False
2026-08-07,BBTN,1230.0,1230,True,0.0,False
2026-08-07,BMRI,4240.0,4240,True,0.0,False
2026-08-07,BRPT,1930.0,1930,True,0.0,False
2026-08-07,BUMI,187.0,187,True,0.0,False
2026-08-07,CPIN,3140.0,3140,True,0.0,False
2026-08-07,CUAN,740.0,740,True,0.0,False
2026-08-07,DEWA,478.0,478,True,0.0,False
2026-08-07,EMTK,530.0,530,True,0.0,False
2026-08-07,ESSA,635.0,635,True,0.0,False
2026-08-07,EXCL,2550.0,2550,True,0.0,False
2026-08-07,GOTO,50.0,50,True,0.0,False
2026-08-07,HRTA,2150.0,2150,True,0.0,False
2026-08-07,ICBP,7750.0,7750,True,0.0,False
2026-08-07,INCO,5400.0,5400,True,0.0,False
2026-08-07,INDF,7450.0,7450,True,0.0,False
2026-08-07,INDY,2700.0,2700,True,0.0,False
2026-08-07,INKP,8325.0,8325,True,0.0,False
2026-08-07,ISAT,2170.0,2170,True,0.0,False
2026-08-07,ITMG,25125.0,25125,True,0.0,False
2026-08-07,JPFA,2200.0,2200,True,0.0,False
2026-08-07,KLBF,790.0,790,True,0.0,False
2026-08-07,MAPI,1605.0,1605,True,0.0,False
2026-08-07,MBMA,550.0,550,True,0.0,False
2026-08-07,MDKA,2940.0,2940,True,0.0,False
2026-08-07,MEDC,1305.0,1305,True,0.0,False
2026-08-07,NCKL,945.0,945,True,0.0,False
2026-08-07,PGAS,1510.0,1510,True,0.0,False
2026-08-07,PGEO,1110.0,1110,True,0.0,False
2026-08-07,PTBA,2370.0,2370,True,0.0,False
2026-08-07,SCMA,204.0,204,True,0.0,False
2026-08-07,TLKM,2710.0,2710,True,0.0,False
2026-08-07,UNTR,23675.0,23675,True,0.0,False
2026-08-07,UNVR,1820.0,1820,True,0.0,False
2026-08-07,WIFI,2020.0,2020,True,0.0,False
2026-08-10,AADI,9175.0,9175,True,0.0,False
2026-08-10,ADMR,1595.0,1595,True,0.0,False
2026-08-10,ADRO,2530.0,2530,True,0.0,False
2026-08-10,AKRA,1405.0,1405,True,0.0,False
2026-08-10,AMMN,4370.0,4370,True,0.0,False
2026-08-10,AMRT,1385.0,1385,True,0.0,False
2026-08-10,ANTM,3140.0,3140,True,0.0,False
2026-08-10,ASII,5000.0,5000,True,0.0,False
2026-08-10,BBCA,6375.0,6375,True,0.0,False
2026-08-10,BBNI,3650.0,3650,True,0.0,False
2026-08-10,BBRI,3090.0,3090,True,0.0,False
2026-08-10,BBTN,1235.0,1235,True,0.0,False
2026-08-10,BMRI,4180.0,4180,True,0.0,False
2026-08-10,BRPT,1860.0,1860,True,0.0,False
2026-08-10,BUMI,187.0,187,True,0.0,False
2026-08-10,CPIN,3080.0,3080,True,0.0,False
2026-08-10,CUAN,710.0,710,True,0.0,False
2026-08-10,DEWA,474.0,474,True,0.0,False
2026-08-10,EMTK,515.0,515,True,0.0,False
2026-08-10,ESSA,685.0,685,True,0.0,False
2026-08-10,EXCL,2500.0,2500,True,0.0,False
2026-08-10,GOTO,50.0,50,True,0.0,False
2026-08-10,HRTA,2200.0,2200,True,0.0,False
2026-08-10,ICBP,7600.0,7600,True,0.0,False
2026-08-10,INCO,5375.0,5375,True,0.0,False
2026-08-10,INDF,7325.0,7325,True,0.0,False
2026-08-10,INDY,2610.0,2610,True,0.0,False
2026-08-10,INKP,8375.0,8375,True,0.0,False
2026-08-10,ISAT,2100.0,2100,True,0.0,False
2026-08-10,ITMG,24900.0,24900,True,0.0,False
2026-08-10,JPFA,2210.0,2210,True,0.0,False
2026-08-10,KLBF,785.0,785,True,0.0,False
2026-08-10,MAPI,1625.0,1625,True,0.0,False
2026-08-10,MBMA,545.0,545,True,0.0,False
2026-08-10,MDKA,3040.0,3040,True,0.0,False
2026-08-10,MEDC,1295.0,1295,True,0.0,False
2026-08-10,NCKL,930.0,930,True,0.0,False
2026-08-10,PGAS,1510.0,1510,True,0.0,False
2026-08-10,PGEO,1090.0,1090,True,0.0,False
2026-08-10,PTBA,2390.0,2390,True,0.0,False
2026-08-10,SCMA,204.0,204,True,0.0,False
2026-08-10,TLKM,2620.0,2620,True,0.0,False
2026-08-10,UNTR,24050.0,24050,True,0.0,False
2026-08-10,UNVR,1800.0,1800,True,0.0,False
2026-08-10,WIFI,1975.0,1975,True,0.0,False
2026-08-11,AADI,9225.0,9225,True,0.0,False
2026-08-11,ADMR,1570.0,1570,True,0.0,False
2026-08-11,ADRO,2530.0,2530,True,0.0,False
2026-08-11,AKRA,1395.0,1395,True,0.0,False
2026-08-11,AMMN,4250.0,4250,True,0.0,False
2026-08-11,AMRT,1395.0,1395,True,0.0,False
2026-08-11,ANTM,3090.0,3090,True,0.0,False
2026-08-11,ASII,4870.0,4870,True,0.0,False
2026-08-11,BBCA,6300.0,6300,True,0.0,False
2026-08-11,BBNI,3550.0,3550,True,0.0,False
2026-08-11,BBRI,3090.0,3090,True,0.0,False
2026-08-11,BBTN,1210.0,1210,True,0.0,False
2026-08-11,BMRI,4120.0,4120,True,0.0,False
2026-08-11,BRPT,1820.0,1820,True,0.0,False
2026-08-11,BUMI,178.0,178,True,0.0,False
2026-08-11,CPIN,3100.0,3100,True,0.0,False
2026-08-11,CUAN,720.0,720,True,0.0,False
2026-08-11,DEWA,442.0,442,True,0.0,False
2026-08-11,EMTK,505.0,505,True,0.0,False
